Rank,Bib#,Leader,Follower,J1,J2,J3,J4,J5
1,199,Charlotte Fritsch,Olena Martynenko,3,2,4,2,2
2,149,Iago Mello Moraes,Omar Ndiaye Pedrero,1,3,2,8,5
3,246,Harry Stromfelt,Sabrina Beija Flor,6,5,3,3,3
4,153,Marcelo Craviotto,Nina Quach,5,6,1,1,4
5,154,Rafael Martin,Hellen Schmidt,2,1,8,5,6
6,243,Chunky Wright,Deborah Delgado,9,4,5,6,1
7,155,Marcos Alves Soares,Olga Konstantina,4,7,7,9,8
8,121,Karol Druzycki,Maëlle Sanchez,10,8,6,7,7
9,135,Paulo Henrique Mariano,Juliana Tourres,8,10,9,4,9
10,156,Marius Baeumel,Nicole Foerster,7,9,10,10,10
