Rank,Bib#,Leader,Follower,J1,J2,J3,J4,J5
2,260,Piotr Burba,Emilia Moraes,2,3,2,2,4
1,213,Kassio Adriano Loureiro E Silva,Andrea Martinez Matali,1,1,5,1,1
3,308,Ricky Fox,Olena Martynenko,7,5,1,3,2
4,183,Tiago Moraes Pamplona Martins,Julia Utig,3,2,6,8,3
6,117,Thomas Ek,Ola Zdeb,9,6,9,4,7
5,150,Yifei Yu,Myriam Muntz,6,10,4,5,6
7,169,Vahur Kaar,Klaudia Cwiakala,8,12,3,6,11
8,206,Rudy Gennaro,Nuria Diaz,5,11,8,7,9
10,256,Wiktor Gornicki,Olga Konstantina,10,8,10,10,8
9,249,Will Velayoudom,Lisa van der Plaats,11,9,7,9,5
11,166,Oeslle Lucena,Sabrina Beija Flor,4,4,11,11,10
12,287,Tomek Mroz,Janina Schwock,12,7,12,12,12
